id,display_name,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url
ruffled neck,ruffled neck,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Ruffled_neck.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Ruffled_neck.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Ruffled_neck.jpg
ruffling,ruffling,,,,,,,,,,,
rust (color),rust (color),,,,,,,,,,,
S-curve,S-curve,,,,,,,,,,,
sailor collar,sailor collar,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Sailor_collar.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Sailor_collar.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Sailor_collar.jpg
sarong,sarong,"Main garments formed by wrapping a strip of cloth around the lower part of the body. Worn chiefly by men and women of the Malay Archipelago and the Pacific Islands. Also, similar often preformed garments worn by Western women.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=sarong&logic=AND&note=&english=N&prev_page=1&subjectid=300209928,http://worksheet.dressdiscover.org/img/full_size/429px-Sarong.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Sarong.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Sarong.jpg
satin,satin,"Woven textile characterized by a basic binding system or weave with smooth, shiny surface formed by long warp floats. Generally, each warp end passes over four or more adjacent weft picks and under the next one. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=satin&logic=AND&note=&english=N&prev_page=1&subjectid=300132902,,,,,,
scoop neck,scoop neck,,,,,,http://worksheet.dressdiscover.org/img/full_size/StateLibQld_2_293551_Marie_Gertrude_Riley%2C_a_portrait.jpg,http://worksheet.dressdiscover.org/img/thumbnail/StateLibQld_2_293551_Marie_Gertrude_Riley%2C_a_portrait.jpg,"Unknown, but Item is held by John Oxley Library, State Library of Queensland",Public domain,Wikipedia,"https://commons.wikimedia.org/wiki/File:StateLibQld_2_293551_Marie_Gertrude_Riley,_a_portrait.jpg"
shawl collar,shawl collar,,,,,,,,,,,
sheared pile,sheared pile,,,,,,,,,,,
sheath dress,sheath dress,"Close-fitting dresses with a tight, straight skirt.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
shell,shell,"Hard outer covering of invertebrate creatures, composed of calcareous or chitinous material.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
shirtwaist dress,shirtwaist dress,"Dresses having a shirtwaist bodice, typically including a center front button or stud placket opening, cuffs, and a collar, imitating certain details of a man's shirt. The bodice is attached straight or full skirt, often having a belt at the waist.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
short sleeve,short sleeve,,,,,,,,,,,
shoulder straps,shoulder straps,"Strips of leather, cloth, or other material that pass over the shoulder and from which an article is suspended or a garment is held up. For strips used for fastening, use ""straps.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
silk,silk,"Textile made from silk fiber, which is a fiber derived from the cocoon of the silkworm moth.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
sleeve panes,sleeve panes,,,,,,,,,,,
slip,slip,"Underwear usually made the length of the garment under which it is to be worn, thereby taking the place of a lining. Usually applied to full slips with a bodice and shoulder straps made in dress length. Prefer ""half slips"" for skirtlike underwear extending from the waist to near the hemline of the garment with which it is worn.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Ecrufullslip.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Ecrufullslip.jpg,Wikipedia User Tranquil Garden,Creative Commons Attribution-Share Alike 4.0 International,Wikipedia,https://commons.wikimedia.org/wiki/File:Ecrufullslip.jpg
smocking,smocking,"Refers to the process applied to a garment or other piece of fabric, comprising gathering tucks and working the tucks with a simple or decorative stitch.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
snaps,snaps,Fastening devices that close with a click when the two parts are fitted tightly into each other.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/484px-Druckknopf.jpg,http://worksheet.dressdiscover.org/img/thumbnail/484px-Druckknopf.jpg,Wikimedia user Grkauls,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Druckknopf.jpg
spandex,spandex,"Synthetic elastomeric fiber or fabric composed largely of alternating rigid and flexible segments of polyurethane. It is used in the clothing industry, especially for hosiery, underwear, swimwear, and other close-fitting garments. Spandex is the generic name in the United States and Canada. Elastane is the generic name used elsewhere. Lycra is a proprietary name for this material.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
square neckline,square neckline,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Square_neck.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Square_neck.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Square_neck.jpg
straight,straight,,,,,,,,,,,
strapless,strapless,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Strapless_dress.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Strapless_dress.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Strapless_dress.jpg
swagged,swagged,,,,,,,,,,,
sweetheart,sweetheart,,,,,,,,,,,
synthetic fiber,synthetic fiber,"Fiber made from chemical substances, used for textile production.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=synthetic+fiber&logic=AND&note=&english=N&prev_page=1&subjectid=300014058,,,,,,
taffeta,taffeta,"Crisp textile, typically in plain weave, sometimes with a fine crosswise rib and a smooth lustrous surface on both sides, originally of silk, now of various fibers.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Woman_s_Dress_LACMA_M_2007_211_35__3_of_7_.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Woman_s_Dress_LACMA_M_2007_211_35__3_of_7_.jpg,Los Angeles County Museum of Art,Public Domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Woman%27s_Dress_LACMA_M.2007.211.35_(3_of_7).jpg
tan,tan,A light to moderate brownish tawny color. The term originally referred to the color of crushed oak bark or tannin that is employed to tan leather.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
tank top,tank top,,,,,,,,,,,
teal,teal,"Colors in a range of a bluish grayish green, resembling the color of certain patches feathers of the teal (a river duck).",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
thread eyelets,thread eyelets,,,,,,,,,,,
three-quarter length sleeve,three-quarter length sleeve,,,,,,,,,,,
tiered,tiered,,,,,,,,,,,
ties,ties,"Cords, bands, or similar flexible devices used for fastening, especially by interlacing, such as in a knot or bow.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
toga,toga,"Loose mantles of undyed woolen cloth worn by men and women of ancient Rome. Also, similar loose wraps made of various fabrics and worn in various historical periods.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
toggles,toggles,"Rodlike buttons of wood or other material, attached to cord, leather, or chain loops and designed to be passed through another loop as a fastener on a garment.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
train,train,"Extended parts of a skirt, gown, or state robe that lie on the floor and trail behind the wearer, either separate or attached. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=train&logic=AND&note=&english=N&prev_page=1&subjectid=300224243,http://worksheet.dressdiscover.org/img/full_size/429px-Train_%28clothing%29.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Train_%28clothing%29.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Train_(clothing).jpg
trapeze dress,trapeze dress,,,,,,,,,,,
trumpet skirt,trumpet skirt,,,,,,,,,,,
tucks,tucks,,,,,,,,,,,
tunic,tunic,"Simple slip-on garments made with or without sleeves and usually knee-length or longer and belted at the waist; especially those worn by men and women of ancient Greece and Rome. Also, garments extending from the neckline to the waist or longer, usually high-necked and worn over other garments.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
turquoise,turquoise,"Refers to a range of bluish and greenish colors resembling the turquoise mineral, typically a light to moderate greenish blue.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
turtleneck,turtleneck,,,,,,,,,,,
twill weave,twill weave,"Refers to a woven textile characterized by parallel diagonal ridges or ribs, produced by passing the weft threads over one and under two or more threads of the warp, instead of over and under in regular succession, as in plain weaving. Regular twill features a diagonal line that is repeated regularly, usually running from the left to right at a 45-degree angle and upward. The weave may be varied in several ways, including changing the angle or direction of the twill line, as exemplified in herringbone twill.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
v-neck,v-neck,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-V-neck.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-V-neck.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:V-neck.jpg
velcro,velcro,,,,,,,,,,,
velvet,velvet,"Warp pile weave, typically silk, with a short, soft dense pile produced by a supplementary warp that is raised in loops above the surface of the textile through the introduction of rods during the weaving; the loops may be cut or left uncut.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Jacka___del_av_Nordstjrneordens_drkt_frn_cirka_1820___Livrustkammaren___108329.tif,http://worksheet.dressdiscover.org/img/thumbnail/Jacka___del_av_Nordstjrneordens_drkt_frn_cirka_1820___Livrustkammaren___108329.jpg,Livrustkammaren (The Royal Armoury) / Jens Mohr,Public Domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Jacka_-_del_av_Nordstj%C3%A4rneordens_dr%C3%A4kt_fr%C3%A5n_cirka_1820_-_Livrustkammaren_-_108329.tif
wax,wax,"Any solid or semi-solid substance that is slightly greasy to touch, usually solid, translucent, and has a low melting point; waxes are not a chemically homogeneous group. Waxes are composed of long chain hydrocarbon compounds, and may contain esters of fatty acids and alcohols, are thermoplastic and melt at low temperatures of between 40 and 100 C. In general, waxes are water-repellent, smooth, soluble in organic solvents, and classified as animal (e.g., beeswax), vegetable (e.g., bayberry), mineral (e.g., paraffin), or synthetic (e.g., polyethylene). Waxes are used for polishes, candles, crayons, sealants, coatings, adhesives, waterproofing, carbon paper, media in encaustic and wax emulsion paintings, and as repellents in wax-resist watercolor paintings.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Honey_comb.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Honey_comb.jpg,Wikipedia User Merdal at Turkish Wikipedia,Creative Commons Attribution-Share Alike 3.0 Unported,Wikipedia,https://commons.wikimedia.org/wiki/File:Honey_comb.jpg
weaving,weaving,"Generally, the process of interlacing strands or strips of various materials, such as cane, textile, or twigs, to make materials or objects such as wicker, cloth, baskets, or wreaths. Specifically used for the process of making textile on a loom or other weaving device by interlacing warp and weft in a particular order.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
white,white,"UCL (Universal Color Language) standard color name identifying whitish colors, such as the color of snow or milk. More specifically, white is the absence of color. It is the color produced by reflection, transmission, or emission of all kinds of light in the proportion in which they exist in the complete visible spectrum, without sensible absorption, being thus fully luminous and devoid of any distinctive hue.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_white.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_white.jpg,Wikipedia User Badseed,Public Domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_white.svg
wingtip collar,wingtip collar,,,,,,,,,,,
wood,wood,The principal tissue of trees and other plants that provides both strength and a means of conducting nutrients. Wood is one of the most versatile materials known.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/16_wood_samples.jpg,http://worksheet.dressdiscover.org/img/thumbnail/16_wood_samples.jpg,Wikipedia User Anonimski,Public Domain,Wikipedia,https://commons.wikimedia.org/wiki/File:16_wood_samples.jpg
wool,wool,Textile made from the animal hair wool. (AAT),The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=wool&logic=AND&note=&english=N&prev_page=1&subjectid=300243430,http://worksheet.dressdiscover.org/img/full_size/Merino_shearing.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Merino_shearing.jpg,Wikipedia User Charles Esson,Creative Commons Attribution-Share Alike 3.0 Unported,Wikipedia,https://commons.wikimedia.org/wiki/File:Merino_shearing.jpg
wrap dress,wrap dress,,,,,,,,,,,
yellow,yellow,"Hue name for one of the three primary subtractive colors. Represents that portion of the spectrum lying between green and orange, with a wavelength range between 565 and 590 nanometers. The term may refer to any of this group of colors that vary in lightness and saturation. Examples of yellow color in nature are that of a ripe lemon and the yolk of an egg.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_yellow.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_yellow.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_yellow.png
zipper,zipper,Fasteners consisting usually of two rows of metal or plastic teeth on strips of tape for binding to the edges of an opening and having a sliding piece that closes the opening by drawing the teeth into interlocking position.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Zip.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Zip.jpg,Wikipedia user Woodbine9,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Coil_plastic_and_metal_zippers.jpg
